policy,env,block,grade_true,volume_allocated
predictive-variance@gamma-poisson,1,11,1.1391851500472658,40.0
epistemic@gamma-poisson,1,0,0.07757510621351019,40.0
epistemic@gamma-poisson,1,1,0.050517549471426566,0.0
epistemic@gamma-poisson,1,2,0.11575317416134848,0.0
epistemic@gamma-poisson,1,3,0.0506582264746632,0.0
epistemic@gamma-poisson,1,4,0.8598327809744648,40.0
epistemic@gamma-poisson,1,5,0.035487709384518146,0.0
epistemic@gamma-poisson,1,6,0.21693206379960261,40.0
epistemic@gamma-poisson,1,7,1.3816276382071415,40.0
epistemic@gamma-poisson,1,8,0.17673992044441444,40.0
epistemic@gamma-poisson,1,9,0.043748113307195025,0.0
epistemic@gamma-poisson,1,10,0.0885677551430599,0.0
epistemic@gamma-poisson,1,11,1.1391851500472658,40.0
thompson@gamma-poisson,1,0,0.07757510621351019,40.0
thompson@gamma-poisson,1,1,0.050517549471426566,0.0
thompson@gamma-poisson,1,2,0.11575317416134848,0.0
thompson@gamma-poisson,1,3,0.0506582264746632,0.0
thompson@gamma-poisson,1,4,0.8598327809744648,40.0
thompson@gamma-poisson,1,5,0.035487709384518146,0.0
thompson@gamma-poisson,1,6,0.21693206379960261,0.0
thompson@gamma-poisson,1,7,1.3816276382071415,40.0
thompson@gamma-poisson,1,8,0.17673992044441444,40.0
thompson@gamma-poisson,1,9,0.043748113307195025,0.0
thompson@gamma-poisson,1,10,0.0885677551430599,0.0
thompson@gamma-poisson,1,11,1.1391851500472658,80.0
epig@gamma-poisson,1,0,0.07757510621351019,23.0
epig@gamma-poisson,1,1,0.050517549471426566,17.0
epig@gamma-poisson,1,2,0.11575317416134848,0.0
epig@gamma-poisson,1,3,0.0506582264746632,16.0
epig@gamma-poisson,1,4,0.8598327809744648,30.0
epig@gamma-poisson,1,5,0.035487709384518146,11.0
epig@gamma-poisson,1,6,0.21693206379960261,26.0
epig@gamma-poisson,1,7,1.3816276382071415,29.0
epig@gamma-poisson,1,8,0.17673992044441444,23.0
epig@gamma-poisson,1,9,0.043748113307195025,23.0
epig@gamma-poisson,1,10,0.0885677551430599,14.0
epig@gamma-poisson,1,11,1.1391851500472658,28.0
eig@lognormal-poisson,1,0,0.07757510621351019,20.0
eig@lognormal-poisson,1,1,0.050517549471426566,21.0
eig@lognormal-poisson,1,2,0.11575317416134848,1.0
eig@lognormal-poisson,1,3,0.0506582264746632,13.0
eig@lognormal-poisson,1,4,0.8598327809744648,35.0
eig@lognormal-poisson,1,5,0.035487709384518146,3.0
eig@lognormal-poisson,1,6,0.21693206379960261,22.0
eig@lognormal-poisson,1,7,1.3816276382071415,35.0
eig@lognormal-poisson,1,8,0.17673992044441444,26.0
eig@lognormal-poisson,1,9,0.043748113307195025,14.0
eig@lognormal-poisson,1,10,0.0885677551430599,15.0
eig@lognormal-poisson,1,11,1.1391851500472658,35.0
maxent@lognormal-poisson,1,0,0.07757510621351019,0.0
maxent@lognormal-poisson,1,1,0.050517549471426566,0.0
maxent@lognormal-poisson,1,2,0.11575317416134848,0.0
maxent@lognormal-poisson,1,3,0.0506582264746632,0.0
maxent@lognormal-poisson,1,4,0.8598327809744648,237.0
maxent@lognormal-poisson,1,5,0.035487709384518146,0.0
maxent@lognormal-poisson,1,6,0.21693206379960261,0.0
